日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
100年05月25日,9.32,6.56,1.92,,
100年05月26日,9.41,6.49,1.94,,
100年05月27日,9.41,6.49,1.94,,
100年05月30日,9.45,6.47,1.94,,
100年05月31日,9.66,6.32,1.99,,
100年06月01日,9.68,6.31,1.99,,
100年06月02日,9.65,6.33,1.99,,
100年06月03日,9.61,6.36,1.98,,
100年06月07日,9.7,6.3,2.0,,
100年06月08日,9.74,6.28,2.0,,
100年06月09日,9.77,6.26,2.01,,
100年06月10日,9.63,6.34,1.98,,
100年06月13日,9.55,6.4,1.96,,
100年06月14日,9.76,6.26,2.01,,
100年06月15日,10.06,6.07,2.07,,
100年06月16日,9.84,6.21,2.02,,
100年06月17日,9.93,6.15,2.04,,
100年06月20日,9.63,6.34,1.98,,
100年06月21日,9.81,6.23,2.02,,
100年06月22日,9.9,6.17,2.04,,
100年06月23日,9.98,6.12,2.05,,
100年06月24日,9.98,6.12,2.05,,
100年06月27日,10.29,5.94,2.12,,
100年06月28日,10.23,5.97,2.11,,
100年06月29日,10.39,5.88,2.14,,
100年06月30日,11.0,5.56,2.26,,
100年07月01日,10.79,5.66,2.22,,
100年07月04日,11.0,5.56,2.26,,
100年07月05日,10.85,5.63,2.23,,
100年07月06日,11.05,5.53,2.27,,
100年07月07日,11.0,5.56,2.26,,
100年07月08日,11.2,5.45,2.3,,
100年07月11日,11.25,5.43,2.31,,
100年07月12日,11.2,5.45,2.3,,
100年07月13日,11.35,5.38,2.34,,
100年07月14日,10.79,5.66,2.22,,
100年07月15日,11.3,5.41,2.33,,
100年07月18日,11.56,5.29,2.38,,
100年07月19日,11.41,5.36,2.35,,
100年07月20日,11.51,5.31,2.37,,
100年07月21日,12.02,5.08,2.47,,
100年07月22日,12.58,4.86,2.59,,
100年07月25日,12.58,4.86,2.59,,
100年07月26日,13.03,4.69,2.68,,
100年07月27日,13.9,4.4,2.86,,
100年07月28日,14.87,4.11,3.06,,
100年07月29日,14.36,4.26,2.95,,
100年08月01日,14.97,4.08,3.08,,
100年08月02日,15.27,4.0,3.14,,
100年08月03日,15.38,3.97,3.16,,
100年08月04日,14.97,4.08,3.08,,
100年08月05日,13.95,4.38,2.87,,
100年08月08日,13.24,4.62,2.72,,
100年08月09日,13.85,4.41,2.85,,
100年08月10日,14.82,4.12,3.05,,
100年08月11日,14.66,4.17,3.02,,
100年08月12日,13.75,4.44,2.83,,
100年08月15日,14.15,4.32,2.91,,
100年08月16日,13.95,4.38,2.87,,
100年08月17日,13.8,4.43,2.84,,
100年08月18日,13.44,4.55,2.76,,
100年08月19日,12.93,4.72,2.66,,
100年08月22日,13.14,4.65,2.7,,
100年08月23日,13.85,4.41,2.85,,
100年08月24日,13.39,4.56,2.75,,
100年08月25日,13.39,4.56,2.75,,
100年08月26日,13.8,4.43,2.84,,
100年08月29日,13.75,4.44,3.06,,
100年08月30日,14.29,4.44,3.06,,
100年08月31日,14.44,4.4,3.1,,
100年09月01日,14.81,4.29,3.18,,
100年09月02日,14.5,4.38,3.11,,
100年09月05日,14.13,4.49,3.03,,
100年09月06日,13.86,4.58,2.97,,
100年09月07日,13.92,4.56,2.98,,
100年09月08日,13.86,4.58,2.97,,
100年09月09日,14.07,4.51,3.02,,
100年09月13日,13.81,4.6,2.96,,
100年09月14日,13.65,4.65,2.93,,
100年09月15日,13.7,4.63,2.94,,
100年09月16日,14.66,4.33,3.14,,
100年09月19日,15.13,4.2,3.24,,
100年09月20日,15.24,4.17,3.27,,
100年09月21日,15.34,4.14,3.29,,
100年09月22日,14.5,4.38,3.11,,
100年09月23日,13.76,4.62,2.95,,
100年09月26日,13.6,4.67,2.91,,
100年09月27日,13.76,4.62,2.95,,
100年09月28日,14.07,4.51,3.02,,
100年09月29日,13.81,4.6,2.96,,
100年09月30日,13.65,4.65,2.93,,
100年10月03日,13.33,4.76,2.86,,
100年10月04日,12.65,5.02,2.71,,
100年10月05日,11.8,5.38,2.53,,
100年10月06日,11.75,5.41,2.52,,
100年10月07日,12.43,5.11,2.67,,
100年10月11日,13.02,4.88,2.79,,
100年10月12日,12.7,5.0,2.72,,
100年10月13日,12.7,5.0,2.72,,
100年10月14日,12.38,5.13,2.65,,
100年10月17日,12.54,5.06,2.69,,
100年10月18日,12.49,5.08,2.68,,
100年10月19日,12.38,5.13,2.65,,
100年10月20日,12.38,5.13,2.65,,
100年10月21日,12.49,5.08,2.68,,
100年10月24日,12.75,4.98,2.73,,
100年10月25日,12.8,4.96,2.74,,
100年10月26日,13.12,4.84,2.81,,
100年10月27日,14.02,4.53,3.01,,
100年10月28日,13.86,4.58,2.74,,
100年10月31日,11.49,4.55,2.76,,
100年11月01日,11.75,4.44,2.82,,
100年11月02日,11.88,4.4,2.85,,
100年11月03日,11.62,4.49,2.79,,
100年11月04日,12.01,4.35,2.88,,
100年11月07日,12.01,4.35,2.88,,
100年11月08日,12.14,4.3,2.92,,
100年11月09日,12.23,4.27,2.94,,
100年11月10日,12.01,4.35,2.88,,
100年11月11日,11.75,4.44,2.82,,
100年11月14日,11.79,4.43,2.83,,
100年11月15日,12.01,4.35,2.88,,
100年11月16日,12.84,4.07,3.08,,
100年11月17日,13.62,3.83,3.27,,
100年11月18日,13.36,3.91,3.21,,
100年11月21日,13.23,3.95,3.18,,
100年11月22日,13.14,3.97,3.16,,
100年11月23日,12.79,4.08,3.07,,
100年11月24日,12.71,4.11,3.05,,
100年11月25日,12.53,4.17,3.01,,
100年11月28日,12.88,4.05,3.09,,
100年11月29日,13.4,3.9,3.22,,
100年11月30日,14.23,3.67,3.42,,
100年12月01日,14.23,3.67,3.42,,
100年12月02日,14.19,3.68,3.41,,
100年12月05日,13.32,3.92,3.2,,
100年12月06日,12.75,4.1,3.06,,
100年12月07日,12.88,4.05,3.09,,
100年12月08日,12.92,4.04,3.1,,
100年12月09日,12.84,4.07,3.08,,
100年12月12日,12.88,4.05,3.09,,
100年12月13日,12.66,4.12,3.04,,
100年12月14日,12.62,4.14,3.03,,
100年12月15日,11.97,4.36,2.87,,
100年12月16日,12.01,4.35,2.88,,
100年12月19日,11.84,4.41,2.84,,
100年12月20日,11.53,4.53,2.77,,
100年12月21日,12.18,4.29,2.93,,
100年12月22日,11.97,4.36,2.87,,
100年12月23日,12.62,4.14,3.03,,
100年12月26日,12.27,4.26,2.95,,
100年12月27日,12.36,4.23,2.97,,
100年12月28日,12.32,4.24,2.96,,
100年12月29日,12.53,4.17,3.01,,
100年12月30日,12.66,4.12,3.04,,
101年01月02日,12.23,4.27,2.94,,
101年01月03日,12.36,4.23,2.97,,
101年01月04日,12.27,4.26,2.95,,
101年01月05日,12.32,4.24,2.96,,
101年01月06日,12.23,4.27,2.94,,
101年01月09日,12.18,4.29,2.93,,
101年01月10日,12.27,4.26,2.95,,
101年01月11日,12.32,4.24,2.96,,
101年01月12日,12.27,4.26,2.95,,
101年01月13日,12.23,4.27,2.94,,
101年01月16日,12.4,4.21,2.98,,
101年01月17日,13.23,3.95,3.18,,
101年01月18日,13.19,3.96,3.17,,
101年01月30日,13.27,3.93,3.19,,
101年01月31日,13.32,3.92,3.2,,
101年02月01日,13.19,3.96,3.17,,
101年02月02日,13.14,3.97,3.16,,
101年02月03日,13.58,3.85,3.26,,
101年02月04日,13.58,3.85,3.26,,
101年02月06日,13.58,3.85,3.26,,
101年02月07日,13.71,3.81,3.29,,
101年02月08日,14.66,3.56,3.52,,
101年02月09日,15.14,3.45,3.64,,
101年02月10日,15.19,3.44,3.65,,
101年02月13日,15.49,3.37,3.72,,
101年02月14日,15.32,3.41,3.68,,
101年02月15日,15.54,3.36,3.73,,
101年02月16日,15.06,3.47,3.62,,
101年02月17日,15.1,3.46,3.63,,
101年02月20日,15.4,3.39,3.7,,
101年02月21日,16.45,3.17,3.95,,
101年02月22日,16.93,3.08,4.07,,
101年02月23日,16.71,3.13,4.01,,
101年02月24日,16.58,3.15,3.98,,
101年02月29日,17.36,3.01,4.17,,
101年03月01日,18.28,2.86,4.39,,
101年03月02日,18.76,2.78,4.5,,
101年03月03日,18.19,2.87,4.37,,
101年03月05日,18.02,2.9,4.33,,
101年03月06日,17.97,2.91,4.32,,
101年03月07日,19.19,2.72,4.61,,
101年03月08日,19.28,2.71,4.63,,
101年03月09日,18.62,2.8,4.47,,
101年03月12日,18.45,2.83,4.43,,
101年03月13日,19.71,2.65,4.73,,
101年03月14日,20.41,2.56,4.9,,
101年03月15日,21.76,2.4,5.23,,
101年03月16日,21.85,2.39,5.25,,
101年03月19日,20.71,2.52,4.97,,
101年03月20日,19.97,2.61,4.8,,
101年03月21日,19.63,2.66,4.71,,
101年03月22日,20.8,2.51,5.0,,
101年03月23日,20.28,2.58,4.87,,
101年03月26日,19.67,2.65,4.72,,
101年03月27日,21.02,2.48,5.05,,
101年03月28日,20.58,2.54,4.94,,
101年03月29日,20.54,2.54,4.72,,
101年03月30日,19.73,2.52,4.76,,
101年04月02日,20.02,2.48,4.83,,
101年04月03日,19.73,2.52,4.76,,
101年04月05日,18.37,2.71,4.43,,
101年04月06日,17.91,2.78,4.32,,
101年04月09日,16.67,2.99,4.02,,
101年04月10日,17.0,2.93,4.1,,
101年04月11日,16.58,3.0,4.0,,
101年04月12日,16.54,3.01,3.99,,
101年04月13日,16.75,2.97,4.04,,
101年04月16日,16.09,3.09,3.88,,
101年04月17日,15.01,3.31,3.62,,
101年04月18日,15.59,3.19,3.76,,
101年04月19日,15.75,3.16,3.8,,
101年04月20日,15.51,3.21,3.74,,
101年04月23日,14.97,3.32,3.61,,
101年04月24日,15.09,3.3,3.64,,
101年04月25日,15.34,3.24,3.7,,
101年04月26日,15.59,3.19,3.76,,
101年04月27日,14.8,3.36,3.57,,
101年04月30日,15.42,3.23,3.48,,
101年05月02日,16.19,3.21,3.5,,
101年05月03日,16.54,3.14,3.58,,
101年05月04日,16.84,3.08,3.64,,
101年05月07日,16.54,3.14,3.58,,
101年05月08日,16.45,3.16,3.56,,
101年05月09日,15.93,3.26,3.45,,
101年05月10日,15.97,3.25,3.46,,
101年05月11日,15.97,3.25,3.46,,
101年05月14日,15.5,3.35,3.35,,
101年05月15日,15.76,3.3,3.41,,
101年05月16日,15.06,3.45,3.26,,
101年05月17日,15.58,3.33,3.37,,
101年05月18日,15.28,3.4,3.31,,
101年05月21日,15.67,3.31,3.39,,
101年05月22日,15.67,3.31,3.39,,
101年05月23日,15.63,3.32,3.38,,
101年05月24日,15.67,4.42,3.39,,
101年05月25日,15.67,4.42,3.39,,
101年05月28日,15.76,4.4,3.41,,
101年05月29日,16.84,4.11,3.64,,
101年05月30日,16.41,4.22,3.55,,
101年05月31日,16.93,4.09,3.66,,
101年06月01日,16.15,4.29,3.49,,
101年06月04日,15.54,4.46,3.36,,
101年06月05日,16.54,4.19,3.58,,
101年06月06日,16.62,4.17,3.6,,
101年06月07日,16.28,4.26,3.52,,
101年06月08日,16.06,4.31,3.47,,
101年06月11日,16.54,4.19,3.58,,
101年06月12日,16.54,4.19,3.58,,
101年06月13日,16.58,4.18,3.59,,
101年06月14日,16.62,4.17,3.6,,
101年06月15日,17.06,4.06,3.69,,
101年06月18日,17.45,3.97,3.77,,
101年06月19日,17.1,4.05,3.7,,
101年06月20日,17.58,3.94,3.8,,
101年06月21日,17.32,4.0,3.75,,
101年06月22日,17.32,4.0,3.75,,
101年06月25日,16.93,4.09,3.66,,
101年06月26日,16.58,4.18,3.59,,
101年06月27日,16.62,4.17,3.6,,
101年06月28日,16.19,4.28,3.5,,
101年06月29日,16.71,4.15,3.61,,
101年07月02日,16.8,4.12,3.63,,
101年07月03日,16.93,4.09,3.66,,
101年07月04日,17.14,4.04,3.71,,
101年07月05日,17.84,3.88,3.86,,
101年07月06日,17.58,3.94,3.8,,
101年07月09日,17.45,3.97,3.77,,
101年07月10日,17.4,3.98,3.76,,
101年07月11日,17.32,4.0,3.75,,
101年07月12日,16.19,4.28,3.5,,
101年07月13日,16.06,4.31,3.47,,
101年07月16日,16.1,4.3,3.48,,
101年07月17日,16.54,4.19,3.58,,
101年07月18日,16.36,4.23,3.54,,
101年07月19日,16.71,4.15,3.61,,
101年07月20日,16.67,4.16,3.61,,
101年07月23日,16.36,4.23,3.54,,
101年07月24日,16.45,4.21,3.56,,
101年07月25日,16.45,4.21,3.56,,
101年07月26日,16.36,4.23,3.54,,
101年07月27日,16.71,4.15,3.61,,
101年07月30日,16.8,4.12,3.63,,
101年07月31日,17.4,3.98,3.76,,
101年08月01日,17.66,3.92,3.82,,
101年08月03日,17.62,3.93,3.81,,
101年08月06日,17.53,3.95,3.79,,
101年08月07日,17.88,3.87,3.87,,
101年08月08日,18.92,3.66,4.09,,
101年08月09日,19.05,3.64,4.12,,
101年08月10日,18.79,3.69,4.06,,
101年08月13日,18.53,3.74,4.01,,
101年08月14日,18.61,3.72,4.03,,
101年08月15日,18.53,3.74,4.01,,
101年08月16日,18.53,3.74,4.01,,
101年08月17日,18.18,3.81,3.93,,
101年08月20日,17.36,3.99,3.76,,
101年08月21日,18.05,3.84,3.91,,
101年08月22日,17.92,3.86,3.88,,
101年08月23日,18.01,3.85,3.9,,
101年08月24日,18.1,3.83,3.91,,
101年08月27日,18.14,3.82,3.92,,
101年08月28日,17.92,3.86,3.88,,
101年08月29日,18.74,3.7,4.06,,
101年08月30日,18.18,3.81,3.93,,
101年08月31日,18.7,3.7,4.37,,
101年09月03日,16.44,3.74,4.33,,
101年09月04日,16.36,3.76,4.31,,
101年09月05日,15.98,3.85,4.21,,
101年09月06日,15.78,3.89,4.16,,
101年09月07日,16.01,3.84,4.22,,
101年09月10日,16.05,3.83,4.23,,
101年09月11日,15.9,3.86,4.19,,
101年09月12日,16.01,3.84,4.22,,
101年09月13日,16.09,3.82,4.24,,
101年09月14日,16.4,3.75,4.32,,
101年09月17日,15.82,3.88,4.17,,
101年09月18日,15.94,3.86,4.2,,
101年09月19日,15.98,3.85,4.21,,
101年09月20日,15.82,3.88,4.17,,
101年09月21日,15.98,3.85,4.21,,
101年09月24日,15.82,3.88,4.17,,
101年09月25日,15.98,3.85,4.21,,
101年09月26日,16.13,3.81,4.25,,
101年09月27日,16.13,3.81,4.25,,
101年09月28日,16.09,3.82,4.24,,
101年10月01日,15.98,3.85,4.21,,
101年10月02日,16.21,3.79,4.27,,
101年10月03日,16.05,3.83,4.23,,
101年10月04日,16.24,3.78,4.28,,
101年10月05日,16.28,3.77,4.29,,
101年10月08日,16.17,3.8,4.26,,
101年10月09日,16.01,3.84,4.22,,
101年10月11日,16.05,3.83,4.23,,
101年10月12日,16.01,3.84,4.22,,
101年10月15日,16.21,3.79,4.27,,
101年10月16日,16.24,3.78,4.28,,
101年10月17日,16.13,3.81,4.25,,
101年10月18日,16.28,3.77,4.29,,
101年10月19日,16.21,3.79,4.27,,
101年10月22日,16.28,3.77,4.29,,
101年10月23日,16.01,3.84,4.22,,
101年10月24日,15.98,3.85,4.21,,
101年10月25日,15.94,3.86,4.2,,
101年10月26日,15.9,3.86,4.19,,
101年10月29日,15.78,3.89,4.16,,
101年10月30日,15.82,3.88,4.17,,
101年10月31日,15.98,3.85,3.94,,
101年11月01日,15.95,3.87,3.91,,
101年11月02日,15.06,4.1,3.69,,
101年11月05日,14.59,4.23,3.58,,
101年11月06日,14.75,4.19,3.61,,
101年11月07日,14.4,4.29,3.53,,
101年11月08日,14.13,4.37,3.46,,
101年11月09日,14.17,4.36,3.47,,
101年11月12日,14.17,4.36,3.47,,
101年11月13日,13.63,4.53,3.34,,
101年11月14日,14.05,4.4,3.44,,
101年11月15日,14.09,4.38,3.45,,
101年11月16日,14.44,4.28,3.54,,
101年11月19日,14.94,4.13,3.66,,
101年11月20日,14.79,4.18,3.62,,
101年11月21日,14.52,4.26,3.56,,
101年11月22日,14.67,4.21,3.6,,
101年11月23日,15.44,4.0,3.79,,
101年11月26日,15.98,3.86,3.92,,
101年11月27日,15.79,3.91,3.87,,
101年11月28日,15.6,3.96,3.82,,
101年11月29日,16.18,3.82,3.96,,
101年11月30日,16.6,3.72,4.07,,
101年12月03日,16.53,3.74,4.05,,
101年12月04日,16.29,3.79,3.99,,
101年12月05日,16.56,3.73,4.06,,
101年12月06日,16.56,3.73,4.06,,
101年12月07日,16.33,3.78,4.0,,
101年12月10日,16.22,3.81,3.97,,
101年12月11日,16.29,3.79,3.99,,
101年12月12日,16.76,3.69,4.11,,
101年12月13日,16.76,3.69,4.11,,
101年12月14日,16.99,3.64,4.16,,
101年12月17日,16.91,3.65,4.14,,
101年12月18日,17.07,3.62,4.18,,
101年12月19日,17.68,3.49,4.33,,
101年12月20日,16.91,3.65,4.14,,
101年12月21日,16.68,3.7,4.09,,
101年12月22日,16.53,3.74,4.05,,
101年12月24日,16.45,3.76,4.03,,
101年12月25日,17.07,3.62,4.18,,
101年12月26日,17.22,3.59,4.22,,
101年12月27日,17.45,3.54,4.28,,
101年12月28日,17.99,3.43,4.41,,
102年01月02日,18.03,3.43,4.42,,
102年01月03日,18.46,3.35,4.52,,
102年01月04日,18.76,3.29,4.6,,
102年01月07日,18.69,3.31,4.58,,
102年01月08日,18.38,3.36,4.5,,
102年01月09日,18.15,3.4,4.45,,
102年01月10日,18.03,3.43,4.42,,
102年01月11日,18.15,3.4,4.45,,
102年01月14日,18.11,3.41,4.44,,
102年01月15日,17.88,3.46,4.38,,
102年01月16日,17.68,3.49,4.33,,
102年01月17日,17.37,3.56,4.26,,
102年01月18日,17.53,3.52,4.3,,
102年01月21日,18.22,3.39,4.47,,
102年01月22日,18.11,3.41,4.44,,
102年01月23日,17.76,3.48,4.35,,
102年01月24日,17.76,3.48,4.35,,
102年01月25日,17.53,3.52,4.3,,
102年01月28日,17.72,3.49,4.34,,
102年01月29日,18.11,3.41,4.44,,
102年01月30日,18.22,3.39,4.47,,
102年01月31日,18.19,3.4,4.46,,
102年02月01日,18.19,3.4,4.46,,
102年02月04日,18.38,3.36,4.5,,
102年02月05日,18.3,3.38,4.49,,
102年02月06日,18.34,3.37,4.49,,
102年02月18日,17.92,3.45,4.39,,
102年02月19日,17.88,3.46,4.38,,
102年02月20日,17.92,3.45,4.39,,
102年02月21日,17.76,3.48,4.35,,
102年02月22日,17.61,3.51,4.31,,
102年02月23日,17.45,3.54,4.28,,
102年02月25日,17.37,3.56,4.26,,
102年02月26日,17.22,3.59,4.22,,
102年02月27日,17.45,3.54,4.28,,
102年03月01日,18.03,3.43,4.42,,
102年03月04日,17.68,3.49,4.33,,
102年03月05日,17.49,3.53,4.29,,
102年03月06日,17.99,3.43,4.41,,
102年03月07日,17.88,3.46,4.38,,
102年03月08日,18.03,3.43,4.42,,
102年03月11日,18.73,3.3,4.59,,
102年03月12日,18.69,3.31,4.58,,
102年03月13日,18.69,3.31,4.58,,
102年03月14日,18.07,3.42,4.43,,
102年03月15日,19.31,3.2,4.73,,
102年03月18日,18.8,3.29,4.61,,
102年03月19日,18.88,3.27,4.63,,
102年03月20日,18.42,3.35,4.51,,
102年03月21日,18.69,3.31,4.58,,
102年03月22日,18.76,3.29,4.6,,
102年03月25日,18.76,3.29,4.6,,
102年03月26日,18.46,3.35,4.52,,
102年03月27日,18.69,3.72,4.58,,
102年03月28日,18.57,3.74,4.33,,
102年03月29日,18.13,3.61,4.49,,
102年04月01日,17.73,3.69,4.39,,
102年04月02日,17.73,3.69,4.39,,
102年04月03日,17.95,3.64,4.44,,
102年04月08日,17.41,3.76,4.31,,
102年04月09日,17.01,3.85,4.21,,
102年04月10日,17.22,3.8,4.26,,
102年04月11日,17.95,3.64,4.44,,
102年04月12日,17.51,3.73,4.34,,
102年04月15日,17.48,3.74,4.33,,
102年04月16日,17.81,3.67,4.41,,
102年04月17日,18.24,3.59,4.52,,
102年04月18日,18.24,3.59,4.52,,
102年04月19日,18.6,3.52,4.61,,
102年04月22日,18.5,3.54,4.58,,
102年04月23日,18.35,3.56,4.54,,
102年04月24日,18.6,3.52,4.61,,
102年04月25日,18.5,3.54,4.58,,
102年04月26日,18.79,3.48,4.65,,
102年04月29日,18.9,3.46,4.68,,
102年04月30日,19.15,3.42,4.74,,
102年05月02日,19.11,3.42,4.73,,
102年05月03日,18.9,3.46,4.68,,
102年05月06日,18.9,3.46,4.68,,
102年05月07日,19.04,3.44,4.71,,
102年05月08日,19.91,3.28,4.93,,
102年05月09日,20.13,3.25,4.98,,
102年05月10日,20.86,3.14,5.16,,
102年05月13日,21.26,3.08,5.26,,
102年05月14日,21.77,3.01,5.39,,
102年05月15日,22.17,2.95,5.15,,
102年05月16日,21.87,2.96,5.13,,
102年05月17日,22.16,2.92,5.2,,
102年05月20日,22.09,2.93,5.18,,
102年05月21日,21.73,2.98,5.1,,
102年05月22日,21.58,3.0,5.06,,
102年05月23日,20.94,3.09,4.91,,
102年05月24日,20.79,3.11,4.88,,
102年05月27日,20.43,3.17,4.79,,
102年05月28日,21.83,2.97,5.12,,
102年05月29日,22.99,2.82,5.39,,
102年05月30日,23.38,2.77,5.48,,
102年05月31日,25.0,2.59,5.86,,
102年06月03日,26.04,2.49,6.11,,
102年06月04日,24.53,2.64,5.75,,
102年06月05日,24.75,2.62,5.8,,
102年06月06日,23.31,2.78,5.47,,
102年06月07日,22.45,2.88,5.26,,
102年06月10日,22.77,2.84,5.34,,
102年06月11日,22.45,2.88,5.26,,
102年06月13日,21.87,2.96,5.13,,
102年06月14日,21.87,2.96,5.13,,
102年06月17日,22.01,2.94,5.16,,
102年06月18日,21.58,3.0,5.06,,
102年06月19日,21.65,2.99,5.08,,
102年06月20日,21.08,3.07,4.94,,
102年06月21日,20.22,3.2,4.74,,
102年06月24日,20.29,3.19,4.76,,
102年06月25日,20.25,3.2,4.75,,
102年06月26日,21.65,2.99,5.08,,
102年06月27日,23.17,2.8,5.43,,
102年06月28日,23.24,2.79,5.45,,
102年07月01日,23.53,2.75,5.52,,
102年07月02日,23.38,2.77,5.48,,
102年07月03日,23.35,2.77,5.48,,
102年07月04日,23.42,2.76,5.49,,
102年07月05日,25.04,2.59,5.87,,
102年07月08日,24.46,2.65,5.74,,
102年07月09日,25.68,2.52,6.02,,
102年07月10日,27.09,2.39,6.35,,
102年07月11日,28.96,2.24,6.79,,
102年07月12日,28.35,2.28,6.65,,
102年07月15日,28.71,2.26,6.73,,
102年07月16日,29.14,2.22,6.83,,
102年07月17日,29.06,2.23,6.82,,
102年07月18日,28.49,2.27,6.68,,
102年07月19日,28.71,2.26,6.73,,
102年07月22日,28.71,2.26,6.73,,
102年07月23日,28.78,2.25,6.75,,
102年07月24日,27.91,2.32,6.55,,
102年07月25日,25.97,2.49,6.09,,
102年07月26日,24.17,2.68,5.67,,
102年07月29日,24.89,2.6,5.84,,
102年07月30日,24.89,2.6,5.84,,
102年07月31日,23.88,2.71,5.6,,
102年08月01日,23.96,2.7,5.62,,
102年08月02日,24.32,2.66,5.7,,
102年08月05日,24.24,2.67,5.69,,
102年08月06日,23.53,2.75,5.52,,
102年08月07日,22.55,2.87,5.29,,
102年08月08日,22.41,2.89,5.26,,
102年08月09日,21.22,3.05,4.98,,
102年08月12日,21.83,2.97,5.12,,
102年08月13日,21.58,3.0,5.06,,
102年08月14日,20.83,3.11,5.43,,
102年08月15日,21.72,3.14,5.37,,
102年08月16日,22.06,3.09,5.45,,
102年08月19日,21.83,3.13,5.4,,
102年08月20日,20.74,3.29,5.13,,
102年08月22日,21.04,3.24,5.2,,
102年08月23日,21.0,3.25,5.19,,
102年08月26日,21.0,3.25,5.19,,
102年08月27日,20.2,3.38,5.0,,
102年08月28日,20.62,3.31,5.1,,
102年08月29日,21.0,3.25,5.19,,
102年08月30日,22.44,3.04,5.55,,
102年09月02日,23.35,2.92,5.77,,
102年09月03日,23.16,2.95,5.73,,
102年09月04日,22.52,3.03,5.57,,
102年09月05日,23.12,2.95,5.72,,
102年09月06日,23.54,2.9,5.82,,
102年09月09日,23.81,2.87,5.89,,
102年09月10日,23.81,2.87,5.89,,
102年09月11日,23.88,2.86,5.9,,
102年09月12日,25.55,2.67,6.32,,
102年09月13日,25.59,2.67,6.33,,
102年09月14日,25.7,2.65,6.35,,
102年09月16日,26.16,2.61,6.47,,
102年09月17日,25.85,2.64,6.39,,
102年09月18日,25.85,2.64,6.39,,
102年09月23日,25.44,2.68,6.29,,
102年09月24日,25.02,2.73,6.19,,
102年09月25日,25.7,2.65,6.35,,
102年09月26日,25.28,2.7,6.25,,
102年09月27日,25.32,2.69,6.26,,
102年09月30日,24.41,2.8,6.04,,
102年10月01日,24.83,2.75,6.14,,
102年10月02日,25.02,2.73,6.19,,
102年10月03日,25.66,2.66,6.34,,
