日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
102年10月04日,25.74,2.65,6.36,,
102年10月07日,25.28,2.7,6.25,,
102年10月08日,25.4,2.69,6.28,,
102年10月09日,25.63,2.66,6.34,,
102年10月11日,26.27,2.6,6.49,,
102年10月14日,25.89,2.64,6.4,,
102年10月15日,26.12,2.61,6.46,,
102年10月16日,25.78,2.65,6.37,,
102年10月17日,26.57,2.57,6.57,,
102年10月18日,27.33,2.5,6.76,,
102年10月21日,26.76,2.55,6.62,,
102年10月22日,26.54,2.57,6.56,,
102年10月23日,26.31,2.59,6.5,,
102年10月24日,26.38,2.59,6.52,,
102年10月25日,26.0,2.62,6.43,,
102年10月28日,26.54,2.57,6.56,,
102年10月29日,26.46,2.58,6.54,,
102年10月30日,26.54,2.57,6.56,,
102年10月31日,26.54,2.57,6.56,,
106年12月18日,26.08,2.62,6.45,,
102年11月04日,25.47,2.68,6.3,,
102年11月05日,24.94,2.74,6.17,,
102年11月06日,25.25,2.7,6.24,,
102年11月07日,25.32,2.69,6.26,,
102年11月08日,25.4,2.69,6.28,,
102年11月11日,24.94,2.74,6.17,,
102年11月12日,25.02,2.73,6.19,,
102年11月13日,24.79,2.75,5.74,,
102年11月14日,24.27,2.77,5.7,,
102年11月15日,24.35,2.76,5.72,,
102年11月18日,24.27,2.77,5.7,,
102年11月19日,24.72,2.72,5.81,,
102年11月20日,24.35,2.76,5.72,,
102年11月21日,23.53,2.86,5.53,,
102年11月22日,23.34,2.88,5.48,,
102年11月25日,24.94,2.69,5.86,,
102年11月26日,25.13,2.67,5.91,,
102年11月27日,24.87,2.7,5.84,,
102年11月28日,25.62,2.62,6.02,,
102年11月29日,25.69,2.62,6.04,,
102年12月02日,25.58,2.63,6.01,,
102年12月03日,25.28,2.66,5.94,,
102年12月04日,25.77,2.61,6.05,,
102年12月05日,25.65,2.62,6.03,,
102年12月06日,25.58,2.63,6.01,,
102年12月09日,26.06,2.58,6.12,,
102年12月10日,26.36,2.55,6.2,,
102年12月11日,26.55,2.53,6.24,,
102年12月12日,26.21,2.56,6.16,,
102年12月13日,26.1,2.58,6.13,,
102年12月16日,26.25,2.56,6.17,,
102年12月17日,26.18,2.57,6.15,,
102年12月18日,25.99,2.59,6.11,,
102年12月19日,25.95,2.59,6.1,,
102年12月20日,26.33,2.55,6.19,,
102年12月23日,26.14,2.57,6.14,,
102年12月24日,26.36,2.55,6.2,,
102年12月25日,26.36,2.55,6.2,,
102年12月26日,26.36,2.55,6.2,,
102年12月27日,26.59,2.53,6.25,,
102年12月30日,26.89,2.5,6.32,,
102年12月31日,27.48,2.45,6.46,,
103年01月02日,27.78,2.42,6.53,,
103年01月03日,28.38,2.37,6.67,,
103年01月06日,27.82,2.42,6.54,,
103年01月07日,27.52,2.44,6.47,,
103年01月08日,28.12,2.39,6.61,,
103年01月09日,28.34,2.37,6.66,,
103年01月10日,28.08,2.39,6.6,,
103年01月13日,28.16,2.39,6.62,,
103年01月14日,28.19,2.38,6.63,,
103年01月15日,28.3,2.37,6.65,,
103年01月16日,28.16,2.39,6.62,,
103年01月17日,27.41,2.45,6.44,,
103年01月20日,28.08,2.39,6.6,,
103年01月21日,28.08,2.39,6.6,,
103年01月22日,28.23,2.38,6.63,,
103年01月23日,27.78,2.42,6.53,,
103年01月24日,27.97,2.4,6.57,,
103年01月27日,27.45,2.45,6.45,,
103年02月05日,26.18,2.57,6.15,,
103年02月06日,25.65,2.62,6.03,,
103年02月07日,26.92,2.5,6.33,,
103年02月10日,26.55,2.53,6.24,,
103年02月11日,26.81,2.51,6.3,,
103年02月12日,27.0,2.49,6.34,,
103年02月13日,26.33,2.55,6.19,,
103年02月14日,26.62,2.52,6.26,,
103年02月17日,26.7,2.52,6.27,,
103年02月18日,26.89,2.5,6.32,,
103年02月19日,26.7,2.52,6.27,,
103年02月20日,27.0,2.49,6.34,,
103年02月21日,27.26,2.47,6.41,,
103年02月24日,27.63,2.43,6.49,,
103年02月25日,28.01,2.4,6.58,,
103年02月26日,27.52,2.44,6.47,,
103年02月27日,27.78,2.42,6.53,,
103年03月03日,27.11,2.48,6.37,,
103年03月04日,26.74,2.51,6.28,,
103年03月05日,27.3,2.46,6.41,,
103年03月06日,27.71,2.43,6.51,,
103年03月07日,27.67,2.43,6.5,,
103年03月10日,27.63,2.43,6.49,,
103年03月11日,27.52,2.44,6.47,,
103年03月12日,27.63,2.43,6.49,,
103年03月13日,27.48,2.45,6.46,,
103年03月14日,26.92,2.5,6.33,,
103年03月17日,26.96,2.49,6.34,,
103年03月18日,26.96,2.49,6.34,,
103年03月19日,26.55,2.53,6.24,,
103年03月20日,26.03,2.58,6.12,,
103年03月21日,26.03,2.58,6.12,,
103年03月24日,26.29,2.56,6.18,,
103年03月25日,26.51,2.54,6.23,,
103年03月26日,26.29,2.7,6.18,,
103年03月27日,26.29,2.7,5.82,,
103年03月28日,25.45,2.66,5.89,,
103年03月31日,26.27,2.58,6.08,,
103年04月01日,26.05,2.6,6.03,,
103年04月02日,26.02,2.61,6.02,,
103年04月03日,26.34,2.57,6.1,,
103年04月07日,26.27,2.58,6.08,,
103年04月08日,26.41,2.57,6.12,,
103年04月09日,26.62,2.55,6.17,,
103年04月10日,26.41,2.57,6.12,,
103年04月11日,26.45,2.56,6.12,,
103年04月14日,26.48,2.56,6.13,,
103年04月15日,26.52,2.56,6.14,,
103年04月16日,26.34,2.57,6.1,,
103年04月17日,26.34,2.57,6.1,,
103年04月18日,26.23,2.59,6.07,,
103年04月21日,25.98,2.61,6.02,,
103年04月22日,25.95,2.61,6.01,,
103年04月23日,26.09,2.6,6.04,,
103年04月24日,26.02,2.61,6.02,,
103年04月25日,25.7,2.64,5.95,,
103年04月28日,26.16,2.59,6.06,,
103年04月29日,25.87,2.62,5.99,,
103年04月30日,25.27,2.68,5.85,,
103年05月02日,25.77,2.63,5.97,,
103年05月05日,25.37,2.67,5.88,,
103年05月06日,25.16,2.7,5.83,,
103年05月07日,25.37,2.67,5.88,,
103年05月08日,25.2,2.69,5.83,,
103年05月09日,25.34,2.68,5.5,,
103年05月12日,24.65,2.7,5.44,,
103年05月13日,24.82,2.68,5.48,,
103年05月14日,25.07,2.66,5.53,,
103年05月15日,25.11,2.65,5.54,,
103年05月16日,24.82,2.68,5.48,,
103年05月19日,25.07,2.66,5.53,,
103年05月20日,24.68,2.7,5.45,,
103年05月21日,24.86,2.68,5.49,,
103年05月22日,25.14,2.65,5.55,,
103年05月23日,25.0,2.66,5.52,,
103年05月26日,24.86,2.68,5.49,,
103年05月27日,24.68,2.7,5.45,,
103年05月28日,24.72,2.7,5.46,,
103年05月29日,24.72,2.7,5.46,,
103年05月30日,24.54,2.71,5.42,,
103年06月03日,24.86,2.68,5.49,,
103年06月04日,24.65,2.7,5.44,,
103年06月05日,24.89,2.68,5.5,,
103年06月06日,24.79,2.69,5.47,,
103年06月09日,24.89,2.68,5.5,,
103年06月10日,25.18,2.65,5.56,,
103年06月11日,25.39,2.62,5.6,,
103年06月12日,25.49,2.61,5.63,,
103年06月13日,25.18,2.65,5.56,,
103年06月16日,25.21,2.64,5.57,,
103年06月17日,25.32,2.63,5.59,,
103年06月18日,25.77,2.59,5.69,,
103年06月19日,25.67,3.44,5.67,,
103年06月20日,25.53,3.46,5.63,,
103年06月23日,25.56,3.46,5.64,,
103年06月24日,26.37,3.35,5.82,,
103年06月25日,26.58,3.32,5.87,,
103年06月26日,26.72,3.31,5.9,,
103年06月27日,26.72,3.31,5.9,,
103年06月30日,26.72,3.31,5.9,,
103年07月01日,27.0,3.27,5.96,,
103年07月02日,27.14,3.26,5.99,,
103年07月03日,26.82,3.29,5.92,,
103年07月04日,26.89,3.29,5.94,,
103年07月07日,26.86,3.29,5.93,,
103年07月08日,26.75,3.3,5.91,,
103年07月09日,26.61,3.32,5.87,,
103年07月10日,27.14,3.26,5.99,,
103年07月11日,26.79,3.3,5.91,,
103年07月14日,27.07,3.26,5.98,,
103年07月15日,26.65,3.32,5.88,,
103年07月16日,26.16,3.38,5.77,,
103年07月17日,26.68,3.31,5.89,,
103年07月18日,26.89,3.29,5.94,,
103年07月21日,26.72,3.31,5.9,,
103年07月22日,27.07,3.26,5.98,,
103年07月24日,27.03,3.27,5.97,,
103年07月25日,27.21,3.25,6.01,,
103年07月28日,27.91,3.17,6.16,,
103年07月29日,29.56,2.99,6.52,,
103年07月30日,30.36,2.91,6.7,,
103年07月31日,27.42,3.22,6.05,,
103年08月01日,26.54,3.33,5.86,,
103年08月04日,27.14,3.26,5.99,,
103年08月05日,25.35,3.49,5.6,,
103年08月06日,26.3,3.36,5.8,,
103年08月07日,25.6,3.45,5.65,,
103年08月08日,25.63,3.45,5.66,,
103年08月11日,25.77,3.43,5.69,,
103年08月12日,26.16,3.38,6.6,,
103年08月13日,24.32,3.28,6.79,,
103年08月14日,24.48,3.26,6.84,,
103年08月15日,24.48,3.26,6.84,,
103年08月18日,24.45,3.26,6.83,,
103年08月19日,25.55,3.12,7.14,,
103年08月20日,25.36,3.15,7.08,,
103年08月21日,25.65,3.11,7.16,,
103年08月22日,26.6,3.0,7.43,,
103年08月25日,26.47,3.01,7.39,,
103年08月26日,26.73,2.99,7.47,,
103年08月27日,27.58,2.89,7.7,,
103年08月28日,27.36,2.92,7.64,,
103年08月29日,26.63,3.0,7.44,,
103年09月01日,27.11,2.94,7.57,,
103年09月02日,26.63,3.0,7.44,,
103年09月03日,27.45,2.91,7.67,,
103年09月04日,27.23,2.93,7.61,,
103年09月05日,26.92,2.96,7.52,,
103年09月09日,26.85,2.97,7.5,,
103年09月10日,26.79,2.98,7.48,,
103年09月11日,26.47,3.01,7.39,,
103年09月12日,26.54,3.01,7.41,,
103年09月15日,26.69,2.99,7.46,,
103年09月16日,26.25,3.04,7.33,,
103年09月17日,26.44,3.02,7.39,,
103年09月18日,26.41,3.02,7.38,,
103年09月19日,26.73,2.99,7.47,,
103年09月22日,26.16,3.05,7.31,,
103年09月23日,25.9,3.08,7.24,,
103年09月24日,26.25,3.04,7.33,,
103年09月25日,26.12,3.05,7.3,,
103年09月26日,26.25,3.04,7.33,,
103年09月29日,25.65,3.11,7.16,,
103年09月30日,26.22,3.04,7.32,,
103年10月01日,25.84,3.09,7.22,,
103年10月02日,25.46,3.13,7.11,,
103年10月03日,25.65,3.11,7.16,,
103年10月06日,25.52,3.13,7.13,,
103年10月07日,26.19,3.05,7.31,,
103年10月08日,25.9,3.08,7.24,,
103年10月09日,26.47,3.01,7.39,,
103年10月13日,26.0,3.07,7.26,,
103年10月14日,26.19,3.05,7.31,,
103年10月15日,25.52,3.13,7.13,,
103年10月16日,25.49,3.13,7.12,,
103年10月17日,24.38,3.27,6.81,,
103年10月20日,25.3,3.15,7.07,,
103年10月21日,25.08,3.18,7.01,,
103年10月22日,25.9,3.08,7.24,,
103年10月23日,26.19,3.05,7.31,,
103年10月24日,25.4,3.14,7.09,,
103年10月27日,26.09,3.06,7.29,,
103年10月28日,27.74,2.88,7.75,,
103年10月29日,27.87,2.86,7.78,,
103年10月30日,28.12,2.84,7.85,,
103年10月31日,28.18,2.83,7.87,,
103年11月03日,28.37,2.81,7.92,,
103年11月04日,28.21,2.83,7.88,,
103年11月05日,28.56,2.79,7.98,,
103年11月06日,28.78,2.77,8.04,,
103年11月07日,28.37,2.81,7.92,,
103年11月10日,30.27,2.64,8.46,,
103年11月11日,30.53,2.61,8.53,,
103年11月12日,28.97,2.75,7.48,,
103年11月13日,27.52,2.75,7.48,,
103年11月14日,27.16,2.79,7.39,,
103年11月17日,26.38,2.87,7.17,,
103年11月18日,28.13,2.69,7.65,,
103年11月19日,29.72,2.55,8.08,,
103年11月20日,29.42,2.57,8.0,,
103年11月21日,29.57,2.56,8.04,,
103年11月24日,29.93,2.53,8.14,,
103年11月25日,29.66,2.55,8.06,,
103年11月26日,29.45,2.57,8.01,,
103年11月27日,29.33,2.58,7.97,,
103年11月28日,29.18,2.6,7.93,,
103年12月01日,28.61,2.65,7.78,,
103年12月02日,28.13,2.69,7.65,,
103年12月03日,29.75,2.55,8.09,,
103年12月04日,29.63,2.56,8.06,,
103年12月05日,29.09,2.6,7.91,,
103年12月08日,29.57,2.56,8.04,,
103年12月09日,29.27,2.59,7.96,,
103年12月10日,28.73,2.64,7.81,,
103年12月11日,28.46,2.66,7.74,,
103年12月12日,28.16,2.69,7.66,,
103年12月15日,27.64,2.74,7.52,,
103年12月16日,27.94,2.71,7.6,,
103年12月17日,27.61,2.74,7.51,,
103年12月18日,27.49,2.75,7.48,,
103年12月19日,27.58,2.75,7.5,,
103年12月22日,27.82,2.72,7.57,,
103年12月23日,27.82,2.72,7.57,,
103年12月24日,28.49,2.66,7.75,,
103年12月25日,28.34,2.67,7.7,,
103年12月26日,28.73,2.64,7.81,,
103年12月27日,28.4,2.67,7.72,,
103年12月29日,29.12,2.6,7.92,,
103年12月30日,28.79,2.63,7.83,,
103年12月31日,28.58,2.65,7.77,,
104年01月05日,27.94,2.71,7.6,,
104年01月06日,26.83,2.82,7.3,,
104年01月07日,26.47,2.86,7.2,,
104年01月08日,26.68,2.84,7.25,,
104年01月09日,27.16,2.79,7.39,,
104年01月12日,26.59,2.85,7.23,,
104年01月13日,27.4,2.76,7.45,,
104年01月14日,26.83,2.82,7.3,,
104年01月15日,26.65,2.84,7.25,,
104年01月16日,26.14,2.9,7.11,,
104年01月19日,26.65,2.84,7.25,,
104年01月20日,26.86,2.82,7.3,,
104年01月21日,27.46,2.76,7.47,,
104年01月22日,27.4,2.76,7.45,,
104年01月23日,27.67,2.74,7.52,,
104年01月26日,27.76,2.73,7.55,,
104年01月27日,27.85,2.72,7.57,,
104年01月28日,27.79,2.72,7.56,,
104年01月29日,27.22,2.78,7.4,,
104年01月30日,27.28,2.78,7.42,,
104年02月02日,27.61,2.74,7.51,,
104年02月03日,27.4,2.76,7.45,,
104年02月04日,27.85,2.72,7.57,,
104年02月05日,28.0,2.7,7.61,,
104年02月06日,28.25,2.68,7.68,,
104年02月09日,28.37,2.67,7.71,,
104年02月10日,28.88,2.62,7.85,,
104年02月11日,29.03,2.61,7.89,,
104年02月12日,28.94,2.62,7.87,,
104年02月13日,28.85,2.63,7.84,,
104年02月24日,29.12,2.6,7.92,,
104年02月25日,29.27,2.59,7.96,,
104年02月26日,28.73,2.64,7.81,,
104年03月02日,29.03,2.61,7.89,,
104年03月03日,28.55,2.65,7.76,,
104年03月04日,28.82,2.63,7.83,,
104年03月05日,28.7,2.64,7.8,,
104年03月06日,28.58,2.65,7.77,,
104年03月09日,28.16,2.69,7.66,,
104年03月10日,27.58,2.75,7.5,,
104年03月11日,27.88,2.72,7.58,,
104年03月12日,28.13,2.69,7.65,,
104年03月13日,27.67,2.74,7.52,,
104年03月16日,27.52,2.75,7.48,,
104年03月17日,27.7,2.73,7.53,,
104年03月18日,28.85,2.63,7.84,,
104年03月19日,29.09,2.6,7.91,,
104年03月20日,28.97,2.61,7.88,,
104年03月23日,29.09,2.6,7.91,,
104年03月24日,29.12,2.6,7.92,,
104年03月25日,28.58,2.21,7.34,,
104年03月26日,28.83,2.16,7.49,,
104年03月27日,28.15,2.22,7.31,,
104年03月30日,28.47,2.19,7.4,,
104年03月31日,28.71,2.17,7.46,,
104年04月01日,28.38,2.2,7.38,,
104年04月02日,28.77,2.17,7.48,,
104年04月07日,28.47,2.19,7.4,,
104年04月08日,28.59,2.18,7.43,,
104年04月09日,28.36,2.2,7.37,,
104年04月10日,28.3,2.2,7.35,,
104年04月13日,28.12,2.22,7.31,,
104年04月14日,27.82,2.24,7.23,,
104年04月15日,27.46,2.27,7.14,,
104年04月16日,27.91,2.23,7.25,,
104年04月17日,27.97,2.23,7.27,,
104年04月20日,28.12,2.22,7.31,,
104年04月21日,27.88,2.24,7.24,,
104年04月22日,28.15,2.22,7.31,,
104年04月23日,28.71,2.17,7.46,,
104年04月24日,29.1,2.14,7.56,,
104年04月27日,29.45,2.12,7.65,,
104年04月28日,29.69,2.1,7.71,,
104年04月29日,30.29,2.06,7.87,,
104年04月30日,31.53,1.98,8.19,,
104年05月04日,30.34,2.05,7.88,,
104年05月05日,30.94,2.02,8.04,,
104年05月06日,30.52,2.04,7.93,,
104年05月07日,30.52,2.04,7.93,,
104年05月08日,30.46,2.05,7.92,,
104年05月11日,30.82,2.02,8.01,,
104年05月12日,31.29,1.99,8.13,,
104年05月13日,30.82,2.02,7.39,,
104年05月14日,27.93,2.07,7.22,,
104年05月15日,27.88,2.08,7.21,,
104年05月18日,28.1,2.06,7.26,,
104年05月19日,28.54,2.03,7.38,,
104年05月20日,27.99,2.07,7.24,,
104年05月21日,27.22,2.13,7.04,,
104年05月22日,27.33,2.12,7.06,,
104年05月25日,26.97,2.15,6.97,,
104年05月26日,27.77,2.08,7.18,,
104年05月27日,27.52,2.1,7.11,,
104年05月28日,27.11,2.13,7.01,,
104年05月29日,27.25,2.12,7.04,,
104年06月01日,27.02,2.14,6.99,,
104年06月02日,26.42,2.19,6.83,,
104年06月03日,26.09,2.22,6.74,,
104年06月04日,25.18,2.3,6.51,,
104年06月05日,24.82,2.33,6.42,,
104年06月08日,25.45,2.27,6.58,,
104年06月09日,24.68,2.34,6.38,,
104年06月10日,24.57,2.35,6.35,,
104年06月11日,24.13,2.4,6.24,,
104年06月12日,24.46,2.36,6.32,,
104年06月15日,23.75,2.44,6.14,,
104年06月16日,22.59,2.56,5.84,,
104年06月17日,22.29,2.6,5.76,,
104年06月18日,22.42,2.58,5.8,,
104年06月22日,23.58,2.45,6.1,,
104年06月23日,24.02,2.41,6.21,,
104年06月24日,23.97,2.41,6.2,,
104年06月25日,24.33,2.38,6.29,,
104年06月26日,24.41,2.37,6.31,,
104年06月29日,23.58,2.45,6.1,,
104年06月30日,24.08,2.4,6.22,,
104年07月01日,24.1,2.4,6.23,,
104年07月02日,24.44,2.37,6.32,,
104年07月03日,23.83,2.43,6.16,,
104年07月06日,23.11,2.5,5.97,,
104年07月07日,23.53,2.46,6.08,,
104年07月08日,22.62,2.56,5.85,,
104年07月09日,22.56,2.56,5.83,,
104年07月13日,22.51,2.57,5.82,,
104年07月14日,22.67,2.55,5.86,,
104年07月15日,23.0,2.51,5.95,,
104年07月16日,23.03,2.51,5.95,,
104年07月17日,22.64,2.55,5.85,,
104年07月20日,22.89,2.53,5.92,,
104年07月21日,22.87,2.53,5.91,,
104年07月22日,22.81,2.54,5.9,,
104年07月23日,22.7,2.55,5.87,,
104年07月24日,22.51,2.57,5.82,,
104年07月27日,22.48,2.57,5.81,,
104年07月28日,22.92,2.52,5.93,,
104年07月29日,22.89,2.53,5.92,,
104年07月30日,22.92,2.52,5.93,,
104年07月31日,22.31,2.59,5.77,,
104年08月03日,22.15,2.61,5.73,,
104年08月04日,23.58,2.45,6.1,,
104年08月05日,24.46,2.36,6.32,,
104年08月06日,24.44,2.37,6.32,,
104年08月07日,23.97,2.41,6.2,,
104年08月10日,24.24,2.39,6.27,,
104年08月11日,23.28,2.49,6.02,,
104年08月12日,22.95,2.52,6.48,,
104年08月13日,23.53,2.45,6.66,,
104年08月14日,22.81,2.53,6.46,,
104年08月17日,22.43,2.57,6.35,,
104年08月18日,22.4,2.58,6.34,,
104年08月19日,21.63,2.67,6.12,,
104年08月20日,20.92,2.76,5.92,,
104年08月21日,19.57,2.95,5.54,,
104年08月24日,17.62,3.28,4.99,,
104年08月25日,17.54,3.29,4.96,,
104年08月26日,17.81,3.24,5.04,,
104年08月27日,18.14,3.18,5.13,,
104年08月28日,19.85,2.91,5.62,,
104年08月31日,19.68,2.93,5.57,,
104年09月01日,19.68,2.93,5.57,,
104年09月02日,19.3,2.99,5.46,,
104年09月03日,19.43,2.97,5.5,,
104年09月04日,19.05,3.03,5.39,,
104年09月07日,19.16,3.01,5.42,,
104年09月08日,18.99,3.04,5.37,,
104年09月09日,20.67,2.79,5.85,,
104年09月10日,20.89,2.76,5.91,,
104年09月11日,20.56,2.81,5.82,,
104年09月14日,20.48,2.82,5.79,,
104年09月15日,20.31,2.84,5.75,,
104年09月16日,21.06,2.74,5.96,,
104年09月17日,20.84,2.77,5.9,,
104年09月18日,20.86,2.77,5.9,,
104年09月21日,20.56,2.81,5.82,,
104年09月22日,20.62,2.8,5.83,,
104年09月23日,20.2,2.86,5.72,,
104年09月24日,19.43,2.97,5.5,,
104年09月25日,19.74,2.92,5.58,,
104年09月30日,19.24,3.0,5.44,,
104年10月01日,20.07,2.88,5.68,,
104年10月02日,19.71,2.93,5.58,,
104年10月05日,19.96,2.89,5.65,,
104年10月06日,20.15,2.86,5.7,,
104年10月07日,20.67,2.79,5.85,,
104年10月08日,20.34,2.84,5.76,,
104年10月12日,20.97,2.75,5.93,,
104年10月13日,20.95,2.76,5.93,,
104年10月14日,20.75,2.78,5.87,,
104年10月15日,21.22,2.72,6.0,,
104年10月16日,21.36,2.7,6.04,,
104年10月19日,21.25,2.72,6.01,,
104年10月20日,21.5,2.69,6.08,,
104年10月21日,21.72,2.66,6.14,,
104年10月22日,21.96,2.63,6.21,,
104年10月23日,21.61,2.67,6.11,,
104年10月26日,21.96,2.63,6.21,,
104年10月27日,21.88,2.64,6.19,,
104年10月28日,21.39,2.7,6.05,,
104年10月29日,21.28,2.71,6.02,,
104年10月30日,20.97,2.75,5.93,,
104年11月02日,21.06,2.74,5.96,,
104年11月03日,21.25,2.72,6.01,,
104年11月04日,21.5,2.69,6.08,,
104年11月05日,21.3,2.71,6.03,,
104年11月06日,20.89,2.76,5.91,,
104年11月09日,20.81,2.77,5.89,,
104年11月10日,20.81,2.83,5.41,,
104年11月11日,20.59,2.86,5.35,,
104年11月12日,20.67,2.85,5.37,,
104年11月13日,19.83,2.97,5.15,,
104年11月16日,19.41,3.04,5.04,,
104年11月17日,19.89,2.97,5.17,,
104年11月18日,19.1,3.09,4.96,,
104年11月19日,19.38,3.04,5.04,,
104年11月20日,19.3,3.06,5.02,,
104年11月23日,19.52,3.02,5.07,,
104年11月24日,19.24,3.07,5.0,,
104年11月25日,19.21,3.07,4.99,,
104年11月26日,19.89,2.97,5.17,,
104年11月27日,19.69,3.0,5.12,,
104年11月30日,19.83,2.97,5.15,,
104年12月01日,21.18,2.79,5.5,,
104年12月02日,21.07,2.8,5.48,,
104年12月03日,21.4,2.76,5.56,,
104年12月04日,21.01,2.81,5.46,,
104年12月07日,21.46,2.75,5.58,,
104年12月08日,21.04,2.8,5.47,,
104年12月09日,20.62,2.86,5.36,,
104年12月10日,20.81,2.83,5.41,,
104年12月11日,20.22,2.92,5.26,,
104年12月14日,20.67,2.85,5.37,,
104年12月15日,20.39,2.89,5.3,,
104年12月16日,21.18,2.79,5.5,,
104年12月17日,21.12,2.79,5.49,,
104年12月18日,21.12,2.79,5.49,,
104年12月21日,21.26,2.77,5.53,,
104年12月22日,21.63,2.73,5.62,,
104年12月23日,21.63,2.73,5.62,,
104年12月24日,21.57,2.73,5.61,,
104年12月25日,21.52,2.74,5.59,,
104年12月28日,21.74,2.71,5.65,,
104年12月29日,21.6,2.73,5.61,,
104年12月30日,21.15,2.79,5.5,,
104年12月31日,21.35,2.76,5.55,,
105年01月04日,20.48,2.88,5.32,,
105年01月05日,20.48,2.88,5.32,,
105年01月06日,20.87,2.83,5.42,,
105年01月07日,20.28,2.91,5.27,,
105年01月08日,19.86,2.97,5.16,,
105年01月11日,19.1,3.09,4.96,,
105年01月12日,19.33,3.05,5.02,,
105年01月13日,19.47,3.03,5.06,,
105年01月14日,19.24,3.07,5.0,,
105年01月15日,18.79,3.14,4.88,,
105年01月18日,18.9,3.12,4.91,,
105年01月19日,18.85,3.13,4.9,,
105年01月20日,18.06,3.27,4.69,,
105年01月21日,18.01,3.28,4.68,,
105年01月22日,18.29,3.23,4.75,,
105年01月25日,18.54,3.18,4.82,,
105年01月26日,18.15,3.25,4.72,,
105年01月27日,18.2,3.24,4.73,,
105年01月28日,18.31,3.22,4.76,,
105年01月29日,19.07,3.09,4.96,,
105年01月30日,19.35,3.05,5.03,,
105年02月01日,19.21,3.07,4.99,,
105年02月02日,18.85,3.13,4.9,,
105年02月03日,18.43,3.2,4.79,,
105年02月15日,18.71,3.15,4.86,,
105年02月16日,18.71,3.15,4.86,,
105年02月17日,18.99,3.11,4.94,,
105年02月18日,19.24,3.07,5.0,,
105年02月19日,19.19,3.07,4.99,,
105年02月22日,19.04,3.1,4.95,,
105年02月23日,18.93,3.12,4.92,,
105年02月24日,18.99,3.11,4.94,,
105年02月25日,19.27,3.06,5.01,,
105年02月26日,19.35,3.05,5.03,,
